Descrição do Alimento;Grupo;Energia (kcal);Proteína (g);Lipídeos (g);Carboidrato (g);Fibra Alimentar (g)
Arroz, integral, cozido;Cereais e derivados;124;2,6;1,0;25,8;2,7
Arroz, integral, cru;Cereais e derivados;360;7,3;1,9;77,5;4,8
Arroz, tipo 1, cozido;Cereais e derivados;128;2,5;0,2;28,1;1,6
Arroz, tipo 1, cru;Cereais e derivados;358;7,2;0,3;78,8;1,6
Arroz, tipo 2, cozido;Cereais e derivados;130;2,6;0,4;28,2;1,1
Arroz, tipo 2, cru;Cereais e derivados;358;7,2;0,3;78,9;1,7
Aveia, flocos, crua;Cereais e derivados;394;13,9;8,5;66,6;9,1
Biscoito, doce, maisena;Cereais e derivados;443;8,1;12,0;75,2;2,1
Biscoito, doce, recheado com chocolate;Cereais e derivados;472;6,4;19,6;70,5;3,0
Biscoito, doce, recheado com morango;Cereais e derivados;471;5,7;19,6;71,0;1,5
Biscoito, doce, wafer, recheado de chocolate;Cereais e derivados;502;5,6;24,7;67,5;1,8
Biscoito, doce, wafer, recheado de morango;Cereais e derivados;513;4,5;26,4;67,4;0,8
Biscoito, salgado, cream cracker;Cereais e derivados;432;10,1;14,4;68,7;2,5
Bolo, mistura para;Cereais e derivados;419;6,2;6,1;84,7;1,7
Bolo, pronto, aipim;Cereais e derivados;324;4,4;12,7;47,9;0,7
Bolo, pronto, chocolate;Cereais e derivados;410;6,2;18,5;54,7;1,4
Bolo, pronto, coco;Cereais e derivados;333;5,7;11,3;52,3;1,1
Bolo, pronto, milho;Cereais e derivados;311;4,8;12,4;45,1;0,7
Canjica, branca, crua;Cereais e derivados;358;7,2;1,0;78,1;5,5
Canjica, com leite integral;Cereais e derivados;112;2,4;1,2;23,6;1,2
Cereais, milho, flocos, com sal;Cereais e derivados;370;7,3;1,6;80,8;5,3
Cereais, milho, flocos, sem sal;Cereais e derivados;363;6,9;1,2;80,4;1,8
Cereais, mingau, milho, infantil;Cereais e derivados;394;6,4;1,1;87,3;3,2
Cereais, mistura para vitamina, trigo, cevada e aveia;Cereais e derivados;381;8,9;2,1;81,6;5,0
Cereal matinal, milho;Cereais e derivados;365;7,2;1,0;83,8;4,1
Cereal matinal, milho, açúcar;Cereais e derivados;377;4,7;0,7;88,8;2,1
Creme de arroz, pó;Cereais e derivados;386;7,0;1,2;83,9;1,1
Creme de milho, pó;Cereais e derivados;333;4,8;1,6;86,1;3,7
Curau, milho verde;Cereais e derivados;78;2,4;1,6;13,9;0,5
Curau, milho verde, mistura para;Cereais e derivados;402;2,2;13,4;79,8;2,5
Farinha, de arroz, enriquecida;Cereais e derivados;363;1,3;0,3;85,5;0,6
Farinha, de centeio, integral;Cereais e derivados;336;12,5;1,8;73,3;15,5
Farinha, de milho, amarela;Cereais e derivados;351;7,2;1,5;79,1;5,5
Farinha, de rosca;Cereais e derivados;371;11,4;1,5;75,8;4,8
Farinha, de trigo;Cereais e derivados;360;9,8;1,4;75,1;2,3
Farinha, láctea, de cereais;Cereais e derivados;415;11,9;5,8;77,8;1,9
Lasanha, massa fresca, cozida;Cereais e derivados;164;5,8;1,2;32,5;1,6
Lasanha, massa fresca, crua;Cereais e derivados;220;7,0;1,3;45,1;1,6
Macarrão, instantâneo;Cereais e derivados;436;8,8;17,2;62,4;5,6
Macarrão, trigo, cru;Cereais e derivados;371;10,0;1,3;77,9;2,9
Macarrão, trigo, cru, com ovos;Cereais e derivados;371;10,3;2,0;76,6;2,3
Milho, amido, cru;Cereais e derivados;361;0,6;Tr;87,1;0,7
Milho, fubá, cru;Cereais e derivados;353;7,2;1,9;78,9;4,7
Milho, verde, cru;Cereais e derivados;138;6,6;0,6;28,6;3,9
Milho, verde, enlatado, drenado;Cereais e derivados;98;3,2;2,4;17,1;4,6
Mingau tradicional, pó;Cereais e derivados;373;0,6;0,4;89,3;0,9
Pamonha, barra para cozimento, pré-cozida;Cereais e derivados;171;2,6;4,8;30,7;2,4
Pão, aveia, forma;Cereais e derivados;343;12,4;5,7;59,6;6,0
Pão, de soja;Cereais e derivados;309;11,3;3,6;56,5;5,7
Pão, glúten, forma;Cereais e derivados;253;12,0;2,7;44,1;2,5
Pão, milho, forma;Cereais e derivados;292;8,3;3,1;56,4;4,3
Pão, trigo, forma, integral;Cereais e derivados;253;9,4;3,7;49,9;6,9
Pão, trigo, francês;Cereais e derivados;300;8,0;3,1;58,6;2,3
Pão, trigo, sovado;Cereais e derivados;311;8,4;2,8;61,5;2,4
Pastel, de carne, cru;Cereais e derivados;289;10,7;8,8;42,0;1,0
Pastel, de carne, frito;Cereais e derivados;388;10,1;20,1;43,8;1,0
Pastel, de queijo, cru;Cereais e derivados;308;9,9;9,6;45,9;1,1
Pastel, de queijo, frito;Cereais e derivados;422;8,7;22,7;48,1;0,9
Pastel, massa, crua;Cereais e derivados;310;6,9;5,5;57,4;1,4
Pastel, massa, frita;Cereais e derivados;570;6,0;40,9;49,3;1,3
Pipoca, com óleo de soja, sem sal;Cereais e derivados;448;9,9;15,9;70,3;14,3
Polenta, pré-cozida;Cereais e derivados;103;2,3;0,3;23,3;2,4
Torrada, pão francês;Cereais e derivados;377;10,5;3,3;74,6;3,4
Abóbora, cabotian, cozida;Verduras, hortaliças e derivados;48;1,4;0,7;10,8;2,5
Abóbora, cabotian, crua;Verduras, hortaliças e derivados;39;1,7;0,5;8,4;2,2
Abóbora, menina brasileira, crua;Verduras, hortaliças e derivados;14;0,6;Tr;3,3;1,2
Abóbora, moranga, crua;Verduras, hortaliças e derivados;12;1,0;0,1;2,7;1,7
Abóbora, moranga, refogada;Verduras, hortaliças e derivados;29;0,4;0,8;6,0;1,5
Abobora, pescoço, crua;Verduras, hortaliças e derivados;24;0,7;0,1;6,1;2,3
Abobrinha, italiana, cozida;Verduras, hortaliças e derivados;15;1,1;0,2;3,0;1,6
Abobrinha, italiana, crua;Verduras, hortaliças e derivados;19;1,1;0,1;4,3;1,4
Abobrinha, italiana, refogada;Verduras, hortaliças e derivados;24;1,1;0,8;4,2;1,4
Abobrinha, paulista, crua;Verduras, hortaliças e derivados;31;0,6;0,1;7,9;2,6
Acelga, crua;Verduras, hortaliças e derivados;21;1,4;0,1;4,6;1,1
Agrião, cru;Verduras, hortaliças e derivados;17;2,7;0,2;2,3;2,1
Aipo, cru;Verduras, hortaliças e derivados;19;0,8;0,1;4,3;1,0
Alface, americana, crua;Verduras, hortaliças e derivados;9;0,6;0,1;1,7;1,0
Alface, crespa, crua;Verduras, hortaliças e derivados;11;1,3;0,2;1,7;1,8
Alface, lisa, crua;Verduras, hortaliças e derivados;14;1,7;0,1;2,4;2,3
Alface, roxa, crua;Verduras, hortaliças e derivados;13;0,9;0,2;2,5;2,0
Alfavaca, crua;Verduras, hortaliças e derivados;29;2,7;0,5;5,2;4,1
Alho, cru;Verduras, hortaliças e derivados;113;7,0;0,2;23,9;4,3
Alho-poró, cru;Verduras, hortaliças e derivados;32;1,4;0,1;6,9;2,5
Almeirão, cru;Verduras, hortaliças e derivados;18;1,8;0,2;3,3;2,6
Almeirão, refogado;Verduras, hortaliças e derivados;65;1,7;4,8;5,7;3,4
Batata, baroa, cozida;Verduras, hortaliças e derivados;80;0,9;0,2;18,9;1,8
Batata, baroa, crua;Verduras, hortaliças e derivados;101;1,0;0,2;24,0;2,1
Batata, doce, cozida;Verduras, hortaliças e derivados;77;0,6;0,1;18,4;2,2
Batata, doce, crua;Verduras, hortaliças e derivados;118;1,3;0,1;28,2;2,6
Batata, frita, tipo chips, industrializada;Verduras, hortaliças e derivados;543;5,6;36,6;51,2;2,5
Batata, inglesa, cozida;Verduras, hortaliças e derivados;52;1,2;Tr;11,9;1,3
Batata, inglesa, crua;Verduras, hortaliças e derivados;64;1,8;Tr;14,7;1,2
Batata, inglesa, frita;Verduras, hortaliças e derivados;267;5,0;13,1;35,6;8,1
Batata, inglesa, sauté;Verduras, hortaliças e derivados;68;1,3;0,9;14,1;1,4
Berinjela, cozida;Verduras, hortaliças e derivados;19;0,7;0,1;4,5;2,5
Berinjela, crua;Verduras, hortaliças e derivados;20;1,2;0,1;4,4;2,9
Beterraba, cozida;Verduras, hortaliças e derivados;32;1,3;0,1;7,2;1,9
Beterraba, crua;Verduras, hortaliças e derivados;49;1,9;0,1;11,1;3,4
Biscoito, polvilho doce;Verduras, hortaliças e derivados;438;1,3;12,2;80,5;1,2
Brócolis, cozido;Verduras, hortaliças e derivados;25;2,1;0,5;4,4;3,4
Brócolis, cru;Verduras, hortaliças e derivados;25;3,6;0,3;4,0;2,9
Cará, cozido;Verduras, hortaliças e derivados;78;1,5;0,1;18,9;2,6
Cará, cru;Verduras, hortaliças e derivados;96;2,3;0,1;23,0;7,3
Caruru, cru;Verduras, hortaliças e derivados;34;3,2;0,6;6,0;4,5
Catalonha, crua;Verduras, hortaliças e derivados;24;1,9;0,3;4,8;2,0
Catalonha, refogada;Verduras, hortaliças e derivados;63;2,0;4,8;4,8;3,7
Cebola, crua;Verduras, hortaliças e derivados;39;1,7;0,1;8,9;2,2
Cebolinha, crua;Verduras, hortaliças e derivados;20;1,9;0,4;3,4;3,6
Cenoura, cozida;Verduras, hortaliças e derivados;30;0,8;0,2;6,7;2,6
Cenoura, crua;Verduras, hortaliças e derivados;34;1,3;0,2;7,7;3,2
Chicória, crua;Verduras, hortaliças e derivados;14;1,1;0,1;2,9;2,2
Chuchu, cozido;Verduras, hortaliças e derivados;19;0,4;Tr;4,8;1,0
Chuchu, cru;Verduras, hortaliças e derivados;17;0,7;0,1;4,1;1,3
Coentro, folhas desidratadas;Verduras, hortaliças e derivados;309;20,9;10,4;48,0;37,3
Couve, manteiga, crua;Verduras, hortaliças e derivados;27;2,9;0,5;4,3;3,1
Couve, manteiga, refogada;Verduras, hortaliças e derivados;90;1,7;6,6;8,7;5,7
Couve-flor, crua;Verduras, hortaliças e derivados;23;1,9;0,2;4,5;2,4
Couve-flor, cozida;Verduras, hortaliças e derivados;19;1,2;0,3;3,9;2,1
Espinafre, Nova Zelândia, cru;Verduras, hortaliças e derivados;16;2,0;0,2;2,6;2,1
Espinafre, Nova Zelândia, refogado;Verduras, hortaliças e derivados;67;2,7;5,4;4,2;2,5
Farinha, de mandioca, crua;Verduras, hortaliças e derivados;361;1,6;0,3;87,9;6,4
Farinha, de mandioca, torrada;Verduras, hortaliças e derivados;365;1,2;0,3;89,2;6,5
Farinha, de puba;Verduras, hortaliças e derivados;360;1,6;0,5;87,3;4,2
Fécula, de mandioca;Verduras, hortaliças e derivados;331;0,5;0,3;81,1;0,6
